cumprimento,despedida,ajuda
"Beleza, brother?",Ate,Estou aqui para te ajudar
Boa noite,Ate a proxima,Estou aqui para te ajudar
Boa tarde,Ate mais,Estou aqui para te ajudar
Bom dia,Boa noite,Estou aqui para te ajudar
E ai!,Boa tarde,Estou aqui para te ajudar
"Fala ai, cara!",Bom dia,Estou aqui para te ajudar
"Oi, boa noite",Tchau,Estou aqui para te ajudar
"Oi, boa tarde","Tchau, boa noite",Estou aqui para te ajudar
"Oi, bom dia","Tchau, boa tarde",Pode contar comigo
"Oi, tudo bem?","Tchau, bom dia",Pode contar comigo
"Oi, tudo bom?",Ate,Pode contar comigo
Oi!,Ate,Pode contar comigo
"Ola, como vai voce?",Ate a proxima,Pode contar comigo
Ola!,Ate a proxima,Pode contar comigo
Opa!,Tchau,Pode contar comigo
Qual e?,Tchau,Pode contar comigo
