sentence,intent
Tudo bem?,como_vai_voce
Beleza?,como_vai_voce
Boa tarde,cumprimento
Boa noite,cumprimento
Bom dia,cumprimento
Muito obrigado,agradecimento
Obrigado,agradecimento
Obrigada,agradecimento
Muito obrigada,agradecimento
Nao estou conseguindo parar de fumar,motivacao
Preciso de ajuda para parar de fumar,motivacao
Tenho receio de fracassar,motivacao
Tenho medo de nao conseguir,motivacao
"Parei de fumar, mas esta muito dificil ficar sem fumar",motivacao
Por que devo parar de fumar?,informacao
Vale a pena parar de fumar?,informacao
Vale a pena deixar de fumar?,informacao
Tenho medo de engordar,medo_engordar
Tenho medo de ganhar peso,medo_engordar
Acho que vou ficar gorda,medo_engordar
Tenho medo das crises de abstinencia,abstinencia
nao sei se eu vou conseguir,motivacao
"entendi, obrigado",agradecimento
entendi,agradecimento
