cumprimento,despedida,ajuda
"Beleza, brother?",Ate,Estou aqui para te ajudar
Boa noite,Ate a proxima,Qual é o seu problema?
Boa tarde,Ate mais,Pode contar comigo
Bom dia,Boa noite,Estou aqui para te ajudar
E ai!,Boa tarde,Qual é o seu problema?
"Fala ai, cara!",Bom dia,Pode contar comigo
"Oi, boa noite",Tchau,Estou aqui para te ajudar
"Oi, boa tarde","Tchau, boa noite",Qual é o seu problema?
"Oi, bom dia","Tchau, boa tarde",Pode contar comigo
"Oi, tudo bem?","Tchau, bom dia",Estou aqui para te ajudar
"Oi, tudo bom?",Ate,Qual é o seu problema?
Oi!,Ate,Pode contar comigo
"Ola, como vai voce?",Ate a proxima,Estou aqui para te ajudar
Ola!,Ate a proxima,Qual é o seu problema?
Opa!,Tchau,Pode contar comigo
Qual e?,Tchau,Estou aqui para te ajudar
